timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;270.00;test0;-E2_0;5.10;0.00;6.24;test;144.90;1.60
1.00;90.00;f1.0;E0_0;5.10;0.00;7.12;CarA;-44.90;-1.60
1.00;270.00;test0;-E2_0;11.74;0.00;6.64;test;138.26;1.60
2.00;90.00;f1.0;E0_0;14.89;0.00;9.79;CarA;-35.11;-1.60
2.00;90.00;f1.1;E0_0;5.10;0.00;0.45;CarA;-44.90;-1.60
2.00;270.00;test0;-E2_0;18.74;0.00;7.00;test;131.26;1.60
3.00;90.00;f1.0;E0_0;23.48;0.00;8.58;CarA;-26.52;-1.60
3.00;90.00;f1.1;E0_0;10.46;0.00;5.36;CarA;-39.54;-1.60
3.00;270.00;test0;-E2_0;25.61;0.00;6.87;test;124.39;1.60
4.00;90.00;f1.0;E0_0;32.73;0.00;9.26;CarA;-17.27;-1.60
4.00;90.00;f1.1;E0_0;18.04;0.00;7.58;CarA;-31.96;-1.60
4.00;90.00;f1.2;E0_0;5.10;0.00;4.91;CarC;-44.90;-1.60
4.00;270.00;test0;-E2_0;32.56;0.00;6.95;test;117.44;1.60
5.00;90.00;f1.0;E0_0;42.05;0.00;9.32;CarA;-7.95;-1.60
5.00;90.00;f1.1;E0_0;25.15;0.00;7.12;CarA;-24.85;-1.60
5.00;90.00;f1.2;E0_0;12.05;0.00;6.95;CarC;-37.95;-1.60
5.00;270.00;test0;-E2_0;39.38;0.00;6.83;test;110.62;1.60
6.00;90.00;f1.0;link_0;1.28;0.00;9.33;CarA;1.28;-1.60
6.00;90.00;f1.1;E0_0;34.72;0.00;9.57;CarA;-15.28;-1.60
6.00;90.00;f1.2;E0_0;17.62;0.00;5.57;CarC;-32.38;-1.60
6.00;90.00;f1.3;E0_0;5.10;0.00;5.30;CarB;-44.90;-1.60
6.00;270.00;test0;-E2_0;46.33;0.00;6.94;test;103.67;1.60
7.00;90.00;f1.0;link_0;11.10;0.00;9.82;CarA;11.10;-1.60
7.00;90.00;f1.1;E0_0;42.34;0.00;7.61;CarA;-7.66;-1.60
7.00;90.00;f1.2;E0_0;25.19;0.00;7.57;CarC;-24.81;-1.60
7.00;90.00;f1.3;E0_0;9.19;0.00;4.09;CarB;-40.81;-1.60
7.00;270.00;test0;-E2_0;48.77;0.00;2.44;test;101.23;1.60
8.00;90.00;f1.0;link_0;20.24;0.00;9.14;CarA;20.24;-1.60
8.00;90.00;f1.1;link_0;0.35;0.00;8.11;CarA;0.35;-1.60
8.00;90.00;f1.2;E0_0;34.26;0.00;9.07;CarC;-15.74;-1.60
8.00;90.00;f1.3;E0_0;16.68;0.00;7.50;CarB;-33.32;-1.60
8.00;270.00;test0;-E2_0;48.89;0.00;0.12;test;101.11;1.60
9.00;90.00;f1.0;link_0;27.88;0.00;7.65;CarA;27.88;-1.60
9.00;90.00;f1.1;link_0;9.93;0.00;9.58;CarA;9.93;-1.60
9.00;90.00;f1.2;E0_0;42.37;0.00;8.12;CarC;-7.63;-1.60
9.00;90.00;f1.3;E0_0;25.31;0.00;8.63;CarB;-24.69;-1.60
9.00;270.00;test0;-E2_0;48.97;0.00;0.08;test;101.03;1.60
